case,exact_fleet_count,sample_count,repetitions,occupancy_mae,occupancy_rmse,fleet_tv,fleet_tv_excess_iid,support_coverage,unexpected_mass,backtracks
prior,12,64,4,0.035590277777777776,0.044453347721213565,0.171875,0.02083333333333333,1.0,0.0,0.0
active-hit-center,4,64,4,0.01736111111111111,0.02897142453588475,0.078125,-0.04296875,1.0,0.0,0.0
miss-center,8,64,4,0.0234375,0.029226718564464467,0.078125,-0.0703125,1.0,0.0,0.0
hit-corner-miss-center,2,64,4,0.016493055555555556,0.03498705427745938,0.07421875,-0.05859375,1.0,0.0,0.0
sunk-top-edge,1,64,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
two-ship-prior,88,64,4,0.050347222222222224,0.06284083047401107,0.45454545454545453,-0.028409090909090856,0.5454545454545454,0.0,0.0
two-ship-active-hit-center,48,64,4,0.04513888888888889,0.06063596387358119,0.35546875000000006,-0.011718749999999958,0.734375,0.0,0.0
one-ship-edge-hit-top,3,64,4,0.02025462962962963,0.03866068789699679,0.09114583333333331,0.02734375,1.0,0.0,0.0
one-ship-edge-miss-top,9,64,4,0.04996141975308642,0.06250578973030739,0.1896701388888889,0.05078124999999999,1.0,0.0,0.0
one-ship-corner-hit-opposite-miss,2,64,4,0.01388888888888889,0.02946278254943948,0.0625,0.01171875,1.0,0.0,0.0
one-ship-center-hit-corner-miss,4,64,4,0.013888888888888888,0.0249419980887038,0.0625,-0.03125,1.0,0.0,0.0
two-ship-corner-miss,32,64,4,0.03819444444444444,0.053648509088040114,0.28125,-0.0078125,0.8671875,0.0,0.0
two-ship-edge-miss,14,64,4,0.0220734126984127,0.041726558067210984,0.1964285714285714,0.007812499999999958,1.0,0.0,0.0
